name,three_classes
Hygrophorus roseodiscoideus,edible
Hygrophorus russula,edible
Hypsizygus marmoreus,edible
Hypsizygus tessellatus,edible
Hypsizygus tessulatus,edible
Hypsizygus ulmarius,edible
Imleria badia,edible
Infundibulicybe geotropa,edible
Kalaharituber pfeilii,edible
Laccaria amethystina,edible
Laccaria bicolor,edible
Laccaria laccata,edible
Lacrymaria lacrymabunda,edible
Lactarius,edible
Lactarius camphoratus,edible
Lactarius deliciosus,edible
Lactarius deterrimus,edible
Lactarius hemicyaneus,edible
Lactarius indigo,edible
Lactarius quieticolor,edible
Lactarius salmonicolor,edible
Lactarius sanguifluus,edible
Lactarius semisanguifluus,edible
Lactarius subdulcis,edible
Lactarius volemus,edible
Lanmaoa fragrans,edible
Leccinellum crocipodium,edible
Leccinellum lepidum,edible
Leccinum aurantiacum,edible
Leccinum scabrum,edible
Leccinum versipelle,edible
Leccinum versipellis,edible
Lentinula edodes,edible
Lepista flaccida,edible
Lepista nuda,edible
Lepista panaeolus,edible
Lepista personata,edible
Lepista saeva,edible
Leucoagaricus leucothites,edible
Leucocortinarius bulbiger,edible
Leucopaxillus giganteus,edible
Leucopaxillus lepistoides,edible
Lycoperdon pyriforme,edible
Lycoperdon utriformis,edible
Lyophyllum decastes,edible
Lyophyllum fumosum,edible
Macrolepiota mastoidea,edible
Macrolepiota procera,edible
Marasmius oreades,edible
Mitrophora semilibera,edible
Morchella conica,edible
Morchella costata,edible
Morchella elata,edible
Morchella esculenta,edible
Morchella hortensis,edible
Morchella importuna,edible
Morchella semilibera,edible
Morchella sp,edible
Morchella vulgaris,edible
Mycena galericulata,edible
Neoboletus praestigiator,edible
Oudemansiella mucida,edible
Paralepista flaccida,edible
Pholiota nameko,edible
Piptoporus betulinus,edible
Pisolithus arhizus,edible
Pleurotus,edible
Pleurotus citrinopileatus,edible
Pleurotus cornucopiae,edible
Pleurotus cystidiosus,edible
Pleurotus djamor,edible
Pleurotus dryinus,edible
Pleurotus eryngii,edible
Pleurotus fabellatus,edible
Pleurotus nebrodensis,edible
Pleurotus ostreatus,edible
Pleurotus pulmonarius,edible
Pleurotus sajor-caju,edible
Pleurotus tuber-regium,edible
Pluteus cervinus,edible
Polyporus mylittae,edible
Polyporus squamosus,edible
Polyporus umbellatus,edible
Porpolomopsis calyptriformis,edible
Pseudocraterellus undulatus,edible
Ramariaceae,edible
Rhizopogon luteolus,edible
Rhodocollybia butyraceae.,edible
Rhodocybe gemina,edible
Russula,edible
Russula atropurpurea,edible
Russula aurea,edible
Russula claroflava,edible
Russula cyanoxantha,edible
Russula heterophylla,edible
Russula laeta,edible
Russula olivacea,edible
Russula parazurea,edible
Russula vesca,edible
Russula virescens,edible
Sarcoscypha austriaca,edible
Scutiger pes-caprae,edible
Sparassis crispa,edible
Sparassis laminosa,edible
Strobilurus esculentus,edible
Strobilurus esculentus var. griseus,edible
Strobilurus stephanocystis,edible
Stropharia rugosoannulata,edible
Suillellus luridus,edible
Suillellus dupainii,edible
Suillellus queletii,edible
Suillus bellinii,edible
Suillus bovinus,edible
Suillus collinitus,edible
Suillus granulatus,edible
Suillus grevillei,edible
Suillus luteus,edible
Suillus tomentosus,edible
Terfezia arenaria,edible
Terfezia claveryi,edible
Terfezia leptoderma,edible
Terfezia magnusii,edible
Tirmania nivea,edible
Tremella fuciformis,edible
Tricholoma caligatum,edible
Tricholoma columbetta,edible
Tricholoma matsutake,edible
Tricholoma portentosum,edible
Tricholoma terreum,edible
Tricholomella constricta,edible
Tricholosporum goniospermum,edible
Tuber aestivum,edible
Tuber borchii,edible
Tuber brumale,edible
Tuber indicum,edible
Tuber macrosporum,edible
Tuber magnatum,edible
Tuber melanosporum,edible
Tuber mesentericum,edible
Ustilago maydis,edible
Verpa bohemica,edible
Verpa digitaliformis,edible
Volvariella volvacea,edible
Xerocomellus chrysenteron,edible
Xerocomus badius,edible
Abortiporus biennis,no_value
Adelphella babingtonii,no_value
Agrocybe praecox,no_value
Alboleptonia sericella,no_value
Amanita citrina var alba,no_value
Amanita citrina var citrina,no_value
Amanita porphyria,no_value
Amanita torrendii,no_value
Ampulloclitocybe clavipes,no_value
Arachnopeziza aurelia,no_value
Arcyria denudata,no_value
Arrhenia onisca,no_value
Arrhenia spathulata,no_value
Ascocoryne cylichnium,no_value
Ascocoryne sarcoides,no_value
Ascotremella faginea,no_value
Auriscalpium vulgare,no_value
Baeospora myosura,no_value
Bolbitius titubans,no_value
Bovista plumbea,no_value
Bulgaria inquinans,no_value
Caloboletus calopus,no_value
Calocera cornea,no_value
Calocera viscosa,no_value
Ceratiomyxa fruticulosa,no_value
Ceratiomyxa porioides,no_value
Cerioporus rhizophilus,no_value
Cheilymenia stercorea,no_value
Chlorociboria aeruginascens,no_value
Chlorophyllum rhacodes,no_value
Chromosera viola,no_value
Chroogomphus helveticus,no_value
Ciboria amentacea,no_value
Ciboria batschiana,no_value
Clavaria acuta,no_value
Clavaria fragilis,no_value
Clavaria fumosa,no_value
Clavaria zollingeri,no_value
Clavariadelphus pistillaris,no_value
Clavulinopsis corniculata,no_value
Clavulinopsis fusiformis,no_value
Clavulinopsis helvola,no_value
Clavulinopsis luteoalba,no_value
Clitocybe costata,no_value
Clitocybe gibba,no_value
Clitocybe odora,no_value
Collybia cirrhata,no_value
Collybia cookei,no_value
Collybia tuberosa,no_value
Comatricha nigra,no_value
Conocybe apala,no_value
Conocybe arrhenii,no_value
Conocybe brunnea,no_value
Conocybe mairei,no_value
Conocybe ovalis,no_value
Conocybe teneroides,no_value
Conocybe vestita,no_value
Coprinellus micaceus,no_value
Coprinopsis ephemeroides,no_value
Coprinopsis erythrocephala,no_value
Coprinopsis lotinae,no_value
Cordyceps militaris,no_value
Cortinarius cupreorufus,no_value
Cortinarius impolitus,no_value
Cortinarius inexspectatus,no_value
Cortinarius mucosus,no_value
Cortinarius purpurascens,no_value
Cortinarius triformis,no_value
Cortinarius tubarius,no_value
Cortinarius violaceus,no_value
Coryne dubia,no_value
Crepidotus autochthonus,no_value
Crepidotus crocophyllus,no_value
Crepidotus variabilis,no_value
Crinipellis scabella,no_value
Crucibulum laeve,no_value
Cyathus olla,no_value
Cyathus stercoreus,no_value
Cyathus striatus,no_value
Cystoderma amianthinum,no_value
Cystoderma carcharias,no_value
Cystoderma fallax,no_value
Cystodermella ambrosii,no_value
Cystodermella cinnabarina,no_value
Cystodermella granulosa,no_value
Dacrymyces stillatus,no_value
Dactylosporina kuehneri,no_value
Dasyscyphella nivea,no_value
Delicatula integrella,no_value
Discina ancilis,no_value
Elaphomyces granulatus,no_value
Entoloma cetratum,no_value
Entoloma opacum,no_value
Entoloma porphyrophaeum,no_value
Fuligo cinerea,no_value
Fuligo septica,no_value
Galerina clavata,no_value
Galerina terrestris,no_value
Gautieria graveolens,no_value
Geoglossum glabrum,no_value
Geopora sumneriana,no_value
Gliophorus irrigatas,no_value
Gliophorus psittacinus,no_value
Gliophorus reginae,no_value
Glutinoglossum glutinosum,no_value
Gomphidius maculatus,no_value
Gomphidius roseus,no_value
Guepiniopsis buccina,no_value
Gymnopilus penetrans,no_value
Gymnopus androsaceus,no_value
Gymnopus fusipes,no_value
Hebeloma birrus,no_value
Hebeloma radicosum,no_value
Helvella atra,no_value
Helvella dissingii,no_value
Helvella macropus,no_value
Hemimycena cucullata,no_value
Hemimycena lactea,no_value
Hemitrichia serpula,no_value
Hericium cirrhatum,no_value
Hortiboletus rubellus,no_value
Humidicutis calyptriformis,no_value
Hygrocybe chlorophana,no_value
Hygrocybe coccinea,no_value
Hygrocybe conica,no_value
Hygrocybe conicoides,no_value
Hygrophoropsis aurantiaca,no_value
Hymenoscyphus fructigenus,no_value
Hymenoscyphus immutabilis,no_value
Hymenoscyphus monticola,no_value
Hymenostilbe muscaria,no_value
Hypholoma capnoides,no_value
Imperator luteocupreus,no_value
Lachnellula subtilissima,no_value
Lachnum virgineum,no_value
Lactarius violascens,no_value
Laetiporus sulphureus,no_value
Lentinellus cochleatus,no_value
Lentinus tigrinus,no_value
Leotia lubrica,no_value
Lepiota erminea,no_value
Leucopaxillus paradoxus,no_value
Limacella illinita,no_value
Lycogala epidendrum,no_value
Lycoperdon echinatum,no_value
Lycoperdon nigrescens,no_value
Lycoperdon perlatum,no_value
Lycoperdon utriforme,no_value
Macrocystidia cucumis,no_value
Macrotyphula juncea,no_value
Marasmiellus candidus,no_value
Marasmiellus maas-geesterani,no_value
Marasmiellus vaillantii,no_value
Marasmius graminum,no_value
Marasmius rotula,no_value
Megacollybia platyphylla,no_value
Metatrichia vesparium,no_value
Microglossum cyanobasis,no_value
Microglossum nudipes,no_value
Microglossum olivaceum,no_value
Mitrula paludosa,no_value
Mycena acicula,no_value
Mycena corynephora,no_value
Mycena seynii,no_value
Mycena tenerrima,no_value
Naucoria scolecina,no_value
Neobulgaria pura,no_value
Onygena equina,no_value
Orbilia delicatula,no_value
Parasola conopilus,no_value
Paxina queletii,no_value
Peziza arvernensis,no_value
Peziza badia,no_value
Peziza varia,no_value
Peziza vesiculosa,no_value
Pholiota adiposa,no_value
Pholiota gummosa,no_value
Phylloporus rhodoxanthus,no_value
Pilobolus kleinii,no_value
Plectania melastoma,no_value
Plicaturopsis crispa,no_value
Pluteus nanus,no_value
Polyporus tuberaster,no_value
Protostropharia semiglobata,no_value
Psathyrella candolleana,no_value
Psathyrella corrugis,no_value
Psathyrella spadiceogrisea,no_value
Pseudoboletus parasiticus,no_value
Pseudoclitocybe cyathiformis,no_value
Pyrenopeziza benesuada,no_value
Ramaria cedretorum,no_value
Ramaria fennica,no_value
Ramaria fumigata,no_value
Resupinatus applicatus,no_value
Reticularia lycoperdon,no_value
Rheubarbariboletus armeniacus,no_value
Rhizopogdon luteolas,no_value
Rhizopogon roseolus,no_value
Rhodocollybia butyracea,no_value
Rhodocollybia maculata,no_value
Rhodotus palmatus,no_value
Rickenella fibula,no_value
Rickenella swartzii,no_value
Rimbachia neckerae,no_value
Rubroboletus lupinus,no_value
Russula amoena,no_value
Russula caerulea,no_value
Russula chloroides,no_value
Russula nigricans,no_value
Russula puellula,no_value
Russula risigallina,no_value
Russula rosea,no_value
Russula sanguinea,no_value
Russula violeipes,no_value
Sarcoscypha coccinea,no_value
Schizophyllum commune,no_value
Scleroderma areolatum,no_value
Scutellinia scutellata,no_value
Scutellinia trechispora,no_value
Simocybe centunculus,no_value
Sowerbyella imperialis,no_value
Stemonitis fusca,no_value
Strobilurus tenacellus,no_value
Stropharia inuncta,no_value
Stropholoma aurantiacum,no_value
Tarzetta catinus,no_value
Tarzetta cupularis,no_value
Tolypocladium capitatum,no_value
Tolypocladium ophioglossoides,no_value
Tremella foliacea,no_value
Tremella mesenterica,no_value
Trichia decipiens,no_value
Trichoderma pulvinatum,no_value
Trichoglossum hirsutum,no_value
Tricholoma fulvum,no_value
Tricholoma sejunctum,no_value
Tricholoma ustale,no_value
Tricholomopsis rutilans,no_value
Tubaria cistophila,no_value
Tubaria conspersa,no_value
Tubaria furfuracea,no_value
Tubaria romagnesiana,no_value
Tubifera ferruginosa,no_value
Tulostoma brumale,no_value
Tulostoma fimbriatum,no_value
Tylopilus felleus,no_value
Typhrasa gossypina,no_value
Typhula contorta,no_value
Typhula fistulosa,no_value
Volvopluteus gloiocephalus,no_value
Xylaria carpophila,no_value
Xylaria hypoxylon,no_value
Xylaria longipes,no_value
Agaricus californicus,toxic
Agaricus hondensis,toxic
Agaricus iodosmus,toxic
Agaricus menieri,toxic
Agaricus moelleri,toxic
Agaricus phaeolepidotus,toxic
Agaricus placomyces,toxic
Agaricus xanthodermus,toxic
Agrocybe arenicola,toxic
Amanita phalliodes,toxic
Amanita abrupta,toxic
Amanita albocreata,toxic
Amanita altipes,toxic
Amanita aprica,toxic
Amanita boudieri,toxic
Amanita breckonii,toxic
Amanita brunnescens,toxic
Amanita citrina,toxic
Amanita cokeri,toxic
Amanita cothurnata,toxic
Amanita echinocephala,toxic
Amanita eliae,toxic
Amanita farinosa,toxic
Amanita flavoconia,toxic
Amanita flavorubescens,toxic
Amanita franchetii,toxic
Amanita frostiana,toxic
Amanita gemmata,toxic
Amanita gioiosa,toxic
Amanita gracilior,toxic
Amanita hemibapha,toxic
Amanita heterochroma,toxic
Amanita hongoi,toxic
Amanita ibotengutake,toxic
Amanita jacksonii,toxic
Amanita muscaria,toxic
Amanita nehuta,toxic
Amanita neoovoidea,toxic
Amanita novinupta,toxic
Amanita pantherina,toxic
Amanita parcivolvata,toxic
Amanita parvipantherina,toxic
Amanita petalinivolva,toxic
Amanita phalloides,toxic
Amanita porrinensis,toxic
Amanita proxima,toxic
Amanita pseudoporphyria,toxic
Amanita pseudoregalis,toxic
Amanita pseudorubescens,toxic
Amanita regalis,toxic
Amanita roseotincta,toxic
Amanita rubrovolvata,toxic
Amanita smithiana,toxic
Amanita subfrostiana,toxic
Amanita velatipes,toxic
Amanita verna,toxic
Amanita virosa,toxic
Amanita viscidolutea,toxic
Amanita wellsii,toxic
Amanita xanthocephala,toxic
Asterophora lycoperdoides,toxic
Asterophora parasitica,toxic
Astraeus hygrometricus,toxic
Boletopsis leucomelaena,toxic
Boletus lupinus,toxic
Boletus pulchrotinctus,toxic
Boletus rhodoxanthus,toxic
Boletus satanas,toxic
Caloboletus radicans,toxic
Cantharellus,toxic
Chlorophyllum brunneum,toxic
Chlorophyllum molybdites,toxic
Chlorophyllum olivieri,toxic
Choiromyces meandriformis,toxic
Choiromyces venosus,toxic
Clathrus archeri,toxic
Clathrus ruber,toxic
Claviceps purpurea,toxic
Clitocella popinalis,toxic
Clitocybe acromelalga,toxic
Clitocybe alnetorum,toxic
Clitocybe amoenolens,toxic
Clitocybe candicans,toxic
Clitocybe cerussata,toxic
Clitocybe clavipes,toxic
Clitocybe dealbata,toxic
Clitocybe diatreta,toxic
Clitocybe ericetorum,toxic
Clitocybe festiva,toxic
Clitocybe fragrans,toxic
Clitocybe gracilipes,toxic
Clitocybe multiceps,toxic
Clitocybe phyllophila,toxic
Clitocybe rivulosa,toxic
Clitopilus geminus,toxic
Conocybe,toxic
Conocybe filaris,toxic
Conocybe subovalis,toxic
Conocybe tenera,toxic
Coprinopsis alopecia,toxic
Coprinopsis atramentaria,toxic
Coprinopsis romagnesiana,toxic
Coprinus atramentarius,toxic
Coprinus picaceus,toxic
Coprinus romagnesianus,toxic
Cortinarius,toxic
Cortinarius bolaris,toxic
Cortinarius callisteus,toxic
Cortinarius cinnabarinus,toxic
Cortinarius cinnamomeus,toxic
Cortinarius cruentus,toxic
Cortinarius gentilis,toxic
Cortinarius limonius,toxic
Cortinarius malicorius,toxic
Cortinarius mirandus,toxic
Cortinarius palustris,toxic
Cortinarius phoeniceus,toxic
Cortinarius rubicundulus,toxic
Cortinarius smithii,toxic
Cortinarius vernus,toxic
Cudonia circinans,toxic
Daedalea quercina,toxic
Daldinia concentrica,toxic
Dermoloma cuneifolium,toxic
Dichomitus campestris,toxic
Echinoderma asperum,toxic
Echinoderma calcicola,toxic
Entoloma albidum,toxic
Entoloma conferendum,toxic
Entoloma hirtipes,toxic
Entoloma lividum,toxic
Entoloma nidorosum,toxic
Entoloma niphoides,toxic
Entoloma rhodopolium,toxic
Entoloma sarcopum,toxic
Entoloma sinuatum,toxic
Entoloma vernum,toxic
Fomes fomentarius,toxic
Fomitopsis betulina,toxic
Fomitopsis pinicola,toxic
Fuscoporia contigua,toxic
Galerina marginata,toxic
Galerina sp,toxic
Ganoderma applanatum,toxic
Ganoderma lucidum,toxic
Gomphus clavatus,toxic
Gymnopilus junonius,toxic
Gymnopilus sp,toxic
Gymnopus brassicolens,toxic
Gyromitra esculenta,toxic
Gyromitra gigas,toxic
Gyromitra infula,toxic
Gyromitra perlata,toxic
Gyromitra sp,toxic
Hapalopilus nidulans,toxic
Hebeloma crustuliniforme,toxic
Hebeloma mesophaeum,toxic
Hebeloma sinapizans,toxic
Helvella dryophila,toxic
Helvella lactea,toxic
Helvella vespertina,toxic
Heterobasidion annosum,toxic
Hydnellum ferrugineum,toxic
Hydnocystis bombycina,toxic
Hypholoma fasciculare,toxic
Hypholoma lateritium,toxic
Hypholoma marginatum,toxic
Hypholoma radicosum,toxic
Hypholoma sublateritium,toxic
Imperator rhodopurpureus,toxic
Imperator torosus,toxic
Infundibulicybe gibba,toxic
Inocybe erubescens,toxic
Inocybe fibrosa,toxic
Inocybe geophylla,toxic
Inocybe hystrix,toxic
Inocybe lacera,toxic
Inocybe rimosa,toxic
Inocybe sambucina,toxic
Inocybe sp,toxic
Inonotus hispidus,toxic
Kretzschmaria deusta,toxic
Kuehneromyce mutabilis,toxic
Lactarius blennius,toxic
Lactarius chrysorrheus,toxic
Lactarius controversus,toxic
Lactarius helvus,toxic
Lactarius lilacinus,toxic
Lactarius necator,toxic
Lactarius pergamenus,toxic
Lactarius piperatus,toxic
Lactarius pubescens,toxic
Lactarius torminosus,toxic
Lactarius turpis,toxic
Leocarpus fragilis,toxic
Lepiota brunneoincarnata,toxic
Lepiota castanea,toxic
Lepiota cristata,toxic
Lepiota sp,toxic
Lepista irina,toxic
Leucocoprinus badhamii,toxic
Leucocybe connata,toxic
Leucopaxillus gentianeus,toxic
Loweomyces fractipes,toxic
Lysurus periphragmoides,toxic
Macrolepiota rachodes,toxic
Macrolepiota venenata,toxic
Marasmius collinus,toxic
Meripilus giganteus,toxic
Mutinus caninus,toxic
Mycena diosma,toxic
Mycena pura,toxic
Mycena rosea,toxic
Neoboletus erythropus,toxic
Neoboletus junquilleus,toxic
Omphalotus illudens,toxic
Omphalotus japonicus,toxic
Omphalotus nidiformis,toxic
Omphalotus olearius,toxic
Omphalotus olivascens,toxic
Panaeolus cinctulus,toxic
Panaeolus fimicola,toxic
Panaeolus semiovatus,toxic
Panaeolus sp,toxic
Paralepista gilva,toxic
Paralepista inversa,toxic
Paralepistopsis acromelalga,toxic
Paralepistopsis amoenolens,toxic
Paxillus filamentosus,toxic
Paxillus involutus,toxic
Paxillus rubicundulus,toxic
Peroneutypa scoparia,toxic
Phaeolus schweinitzii,toxic
Phallus impudicus,toxic
Phellinus pomaceus,toxic
Pholiota squarrosa,toxic
Pholiotina rugosa,toxic
Pholiotina sp,toxic
Pleurocybella porrigens,toxic
Pluteus nigroviridis,toxic
Pluteus salicinus,toxic
Polyozellus multiplex,toxic
Polyporus brumalis,toxic
Postia stiptica,toxic
Pseudoclitopilus rhodoleucus,toxic
Psilocybe coprophila,toxic
Psilocybe semilanceata,toxic
Psilocybe sp,toxic
Pycnoporus cinnabarinus,toxic
Ramaria botrytis,toxic
Ramaria formosa,toxic
Ramaria neoformosa,toxic
Ramaria pallida,toxic
Rubroboletus legaliae,toxic
Rubroboletus pulcherrimus,toxic
Rubroboletus satanas,toxic
Russula amoenolens,toxic
Russula emetica,toxic
Russula fellea,toxic
Russula ionochlora,toxic
Russula nobilis,toxic
Russula ochroleuca,toxic
Russula sardonia,toxic
Russula solaris,toxic
Russula subnigricans,toxic
Russula torulosa,toxic
Russula viscida,toxic
Sarcomyxa serotina,toxic
Sarcosphaera coronaria,toxic
Scleroderma citrinum,toxic
Scleroderma sp,toxic
Stereum hirsutum,toxic
Stereum insignitum,toxic
Strobilomyces strobilaceus,toxic
Stropharia aeruginosa,toxic
Stropharia caerulea,toxic
Stropharia coronilla,toxic
Stropharia cyanea,toxic
Stropharia semiglobata,toxic
Stropharia stercoraria,toxic
Suillellus rhodoxanthus,toxic
Suillellus satanas,toxic
Tectella patellaris,toxic
Trametes gibbosa,toxic
Trametes hirsuta,toxic
Trametes versicolor,toxic
Tricholoma auratum,toxic
Tricholoma bufonium,toxic
Tricholoma equestre,toxic
Tricholoma filamentosum,toxic
Tricholoma flavovirens,toxic
Tricholoma josserandii,toxic
Tricholoma muscarium,toxic
Tricholoma myomyces,toxic
Tricholoma pardinum,toxic
Tricholoma sciodes,toxic
Tricholoma sulphureum,toxic
Tricholoma virgatum,toxic
Trogia venenata,toxic
Tuber excavatum,toxic
Tuber fulgens,toxic
Turbinellus floccosus,toxic
Turbinellus kauffmanii,toxic
