names,len,word1,word2,Results_Google,Number_Hits_Google
Lepiota aspera,14,Lepiota,aspera,"Aproximadamente 98.300 resultados (0,36 segundos) ",98300
Mycena acicula,14,Mycena,acicula,"Aproximadamente 51.600 resultados (0,34 segundos) ",51600
Mycena aetites,14,Mycena,aetites,"Aproximadamente 15.000 resultados (0,36 segundos) ",15000
Mycena crocata,14,Mycena,crocata,"Aproximadamente 31.800 resultados (0,38 segundos) ",31800
Mycena galopus,14,Mycena,galopus,"Aproximadamente 42.400 resultados (0,34 segundos) ",42400
Mycena stipata,14,Mycena,stipata,"Aproximadamente 26.000 resultados (0,37 segundos) ",26000
Mycena vitilis,14,Mycena,vitilis,"Aproximadamente 57.400 resultados (0,41 segundos) ",57400
Onygena equina,14,Onygena,equina,"Aproximadamente 14.400 resultados (0,48 segundos) ",14400
Otidea onotica,14,Otidea,onotica,"Aproximadamente 31.900 resultados (0,35 segundos) ",31900
Panaeolus ater,14,Panaeolus,ater,"Aproximadamente 36.200 resultados (0,42 segundos) ",36200
Panellus mitis,14,Panellus,mitis,"Aproximadamente 17.200 resultados (0,47 segundos) ",17200
Phellinus pini,14,Phellinus,pini,"Aproximadamente 116.000 resultados (0,44 segundos) ",116000
Pholiota lenta,14,Pholiota,lenta,"Aproximadamente 22.500 resultados (0,33 segundos) ",22500
Pholiota mixta,14,Pholiota,mixta,"Aproximadamente 13.700 resultados (0,39 segundos) ",13700
Russula adusta,14,Russula,adusta,"Aproximadamente 104.000 resultados (0,38 segundos) ",104000
Russula amoena,14,Russula,amoena,"Aproximadamente 80.600 resultados (0,40 segundos) ",80600
Russula aquosa,14,Russula,aquosa,"Aproximadamente 16.900 resultados (0,46 segundos) ",16900
Russula aurora,14,Russula,aurora,"Aproximadamente 406.000 resultados (0,40 segundos) ",406000
Russula azurea,14,Russula,azurea,"Aproximadamente 63.000 resultados (0,34 segundos) ",63000
Russula delica,14,Russula,delica,"Aproximadamente 58.500 resultados (0,42 segundos) ",58500
Russula fellea,14,Russula,fellea,"Aproximadamente 25.000 resultados (0,36 segundos) ",25000
Russula grisea,14,Russula,grisea,"Aproximadamente 92.600 resultados (0,34 segundos) ",92600
Russula ilicis,14,Russula,ilicis,"Aproximadamente 28.600 resultados (0,35 segundos) ",28600
Russula illota,14,Russula,illota,"Aproximadamente 9.080 resultados (0,36 segundos) ",9080
Russula langei,14,Russula,langei,"Aproximadamente 19.000 resultados (0,40 segundos) ",19000
Russula lepida,14,Russula,lepida,"Aproximadamente 90.200 resultados (0,35 segundos) ",90200
Russula pascua,14,Russula,pascua,"Aproximadamente 69.200 resultados (0,39 segundos) ",69200
Russula vinosa,14,Russula,vinosa,"Aproximadamente 56.700 resultados (0,40 segundos) ",56700
Scleroderma sp,14,Scleroderma,sp,"Aproximadamente 2.530.000 resultados (0,39 segundos) ",2530
Suillus luteus,14,Suillus,luteus,"Aproximadamente 148.000 resultados (0,42 segundos) ",148000
Tirmania nivea,14,Tirmania,nivea,"Aproximadamente 8.290 resultados (0,46 segundos) ",8290
Tuber aestivum,14,Tuber,aestivum,"Aproximadamente 473.000 resultados (0,40 segundos) ",473000
Tuber magnatum,14,Tuber,magnatum,"Aproximadamente 224.000 resultados (0,44 segundos) ",224000
Verpa bohemica,14,Verpa,bohemica,"Aproximadamente 79.900 resultados (0,62 segundos) ",79900
Agaricus blazei,15,Agaricus,blazei,"Aproximadamente 498.000 resultados (0,45 segundos) ",498000
Agaricus langei,15,Agaricus,langei,"Aproximadamente 17.700 resultados (0,36 segundos) ",17700
Agaricus maskae,15,Agaricus,maskae,"Aproximadamente 3.690 resultados (0,34 segundos) ",3690
Amanita abrupta,15,Amanita,abrupta,"Aproximadamente 21.700 resultados (0,67 segundos) ",21700
Amanita altipes,15,Amanita,altipes,"Aproximadamente 5.760 resultados (0,38 segundos) ",5760
Amanita beillei,15,Amanita,beillei,"Aproximadamente 1.810 resultados (0,28 segundos) ",1810
Amanita citrina,15,Amanita,citrina,"Aproximadamente 138.000 resultados (0,45 segundos) ",138000
Amanita codinae,15,Amanita,codinae,"Aproximadamente 5.590 resultados (0,36 segundos) ",5590
Amanita excelsa,15,Amanita,excelsa,"Aproximadamente 71.500 resultados (0,42 segundos) ",71500
Amanita gemmata,15,Amanita,gemmata,"Aproximadamente 73.400 resultados (0,40 segundos) ",73400
Amanita gioiosa,15,Amanita,gioiosa,"Aproximadamente 58.000 resultados (0,34 segundos) ",58000
Amanita ovoidea,15,Amanita,ovoidea,"Aproximadamente 36.600 resultados (0,27 segundos) ",36600
Amanita proxima,15,Amanita,proxima,"Aproximadamente 149.000 resultados (0,33 segundos) ",149000
Amanita regalis,15,Amanita,regalis,"Aproximadamente 165.000 resultados (0,43 segundos) ",165000
Amanita wellsii,15,Amanita,wellsii,"Aproximadamente 6.890 resultados (0,37 segundos) ",6890
Antrodia albida,15,Antrodia,albida,"Aproximadamente 17.900 resultados (0,56 segundos) ",17900
Arachnion lazoi,15,Arachnion,lazoi,"Aproximadamente 1.390 resultados (0,49 segundos) ",1390
Arcyria cinerea,15,Arcyria,cinerea,"Aproximadamente 109.000 resultados (0,44 segundos) ",109000
Arrhenia lobata,15,Arrhenia,lobata,"Aproximadamente 11.200 resultados (0,42 segundos) ",11200
Arrhenia onisca,15,Arrhenia,onisca,"Aproximadamente 2.820 resultados (0,48 segundos) ",2820
Boletus aemilii,15,Boletus,aemilii,"Aproximadamente 3.280 resultados (0,33 segundos) ",3280
Boletus albidus,15,Boletus,albidus,"Aproximadamente 62.600 resultados (0,39 segundos) ",62600
Boletus calopus,15,Boletus,calopus,"Aproximadamente 56.800 resultados (0,36 segundos) ",56800
Boletus fragans,15,Boletus,fragans,"Aproximadamente 17.300 resultados (0,45 segundos) ",17300
Boletus lupinus,15,Boletus,lupinus,"Aproximadamente 112.000 resultados (0,37 segundos) ",112000
Boletus luridus,15,Boletus,luridus,"Aproximadamente 97.000 resultados (0,36 segundos) ",97000
Boletus satanas,15,Boletus,satanas,"Aproximadamente 95.500 resultados (0,34 segundos) ",95500
Boletus torosus,15,Boletus,torosus,"Aproximadamente 48.300 resultados (0,36 segundos) ",48300
Bovista plumbea,15,Bovista,plumbea,"Aproximadamente 70.200 resultados (0,37 segundos) ",70200
Calocera cornea,15,Calocera,cornea,"Aproximadamente 84.500 resultados (0,64 segundos) ",84500
Calocybe carnea,15,Calocybe,carnea,"Aproximadamente 14.200 resultados (0,38 segundos) ",14200
Clavaria fumosa,15,Clavaria,fumosa,"Aproximadamente 63.200 resultados (0,47 segundos) ",63200
Clitocybe gibba,15,Clitocybe,gibba,"Aproximadamente 50.900 resultados (0,36 segundos) ",50900
Clitocybe odora,15,Clitocybe,odora,"Aproximadamente 53.400 resultados (0,39 segundos) ",53400
Clitocybe plana,15,Clitocybe,plana,"Aproximadamente 12.300 resultados (0,34 segundos) ",12300
Collybia cookei,15,Collybia,cookei,"Aproximadamente 22.000 resultados (0,45 segundos) ",22000
Conocybe mairei,15,Conocybe,mairei,"Aproximadamente 13.400 resultados (0,44 segundos) ",13400
Conocybe ovalis,15,Conocybe,ovalis,"Aproximadamente 5.330 resultados (0,38 segundos) ",5330
Conocybe tenera,15,Conocybe,tenera,"Aproximadamente 23.900 resultados (0,37 segundos) ",23900
Coprinus niveus,15,Coprinus,niveus,"Aproximadamente 73.800 resultados (0,42 segundos) ",73800
Coriolus fibula,15,Coriolus,fibula,"Aproximadamente 6.510 resultados (0,55 segundos) ",6510
Cudonia confusa,15,Cudonia,confusa,"Aproximadamente 6.960 resultados (0,38 segundos) ",6960
Datronia mollis,15,Datronia,mollis,"Aproximadamente 64.200 resultados (0,37 segundos) ",64200
Delastria rosea,15,Delastria,rosea,"Aproximadamente 3.460 resultados (0,50 segundos) ",3460
Diatrype stigma,15,Diatrype,stigma,"Aproximadamente 28.000 resultados (0,63 segundos) ",28000
Discina ancilis,15,Discina,ancilis,"Aproximadamente 12.200 resultados (0,67 segundos) ",12200
Discina perlata,15,Discina,perlata,"Aproximadamente 12.200 resultados (0,42 segundos) ",12200
Entoloma aprile,15,Entoloma,aprile,"Aproximadamente 56.700 resultados (0,36 segundos) ",56700
Entoloma opacum,15,Entoloma,opacum,"Aproximadamente 45.000 resultados (0,43 segundos) ",45000
Entoloma sepium,15,Entoloma,sepium,"Aproximadamente 147.000 resultados (0,34 segundos) ",147000
Entoloma vernum,15,Entoloma,vernum,"Aproximadamente 28.000 resultados (0,55 segundos) ",28000
Exidia truncata,15,Exidia,truncata,"Aproximadamente 70.100 resultados (0,41 segundos) ",70100
Genea papillosa,15,Genea,papillosa,"Aproximadamente 2.840 resultados (0,34 segundos) ",2840
Genea verrucosa,15,Genea,verrucosa,"Aproximadamente 9.150 resultados (0,37 segundos) ",9150
Geopora arenosa,15,Geopora,arenosa,"Aproximadamente 8.010 resultados (0,52 segundos) ",8010
Gymnopus vernus,15,Gymnopus,vernus,"Aproximadamente 8.860 resultados (0,36 segundos) ",8860
Gyrodon lividus,15,Gyrodon,lividus,"Aproximadamente 20.400 resultados (0,38 segundos) ",20400
Gyromitra gigas,15,Gyromitra,gigas,"Aproximadamente 35.200 resultados (0,34 segundos) ",35200
Hebeloma birrus,15,Hebeloma,birrus,"Aproximadamente 29.000 resultados (0,42 segundos) ",29000
Hebeloma edurum,15,Hebeloma,edurum,"Aproximadamente 7.310 resultados (0,48 segundos) ",7310
Hebeloma favrei,15,Hebeloma,favrei,"Aproximadamente 4.150 resultados (0,48 segundos) ",4150
Helvella crispa,15,Helvella,crispa,"Aproximadamente 87.100 resultados (0,25 segundos) ",87100
Helvella lactea,15,Helvella,lactea,"Aproximadamente 27.400 resultados (0,38 segundos) ",27400
Hydnum repandum,15,Hydnum,repandum,"Aproximadamente 146.000 resultados (0,44 segundos) ",146000
Hygrocybe acuta,15,Hygrocybe,acuta,"Aproximadamente 60.100 resultados (0,33 segundos) ",60100
Hygrocybe laeta,15,Hygrocybe,laeta,"Aproximadamente 20.200 resultados (0,35 segundos) ",20200
Hygrocybe ovina,15,Hygrocybe,ovina,"Aproximadamente 24.300 resultados (0,37 segundos) ",24300
Inocybe fibrosa,15,Inocybe,fibrosa,"Aproximadamente 16.700 resultados (0,39 segundos) ",16700
Inocybe friesii,15,Inocybe,friesii,"Aproximadamente 27.700 resultados (0,32 segundos) ",27700
Inocybe hystrix,15,Inocybe,hystrix,"Aproximadamente 65.300 resultados (0,35 segundos) ",65300
Inocybe umbrina,15,Inocybe,umbrina,"Aproximadamente 12.700 resultados (0,35 segundos) ",12700
Lachnum cerinum,15,Lachnum,cerinum,"Aproximadamente 6.520 resultados (0,33 segundos) ",6520
Lactarius acris,15,Lactarius,acris,"Aproximadamente 36.700 resultados (0,48 segundos) ",36700
Lactarius rufus,15,Lactarius,rufus,"Aproximadamente 70.800 resultados (0,32 segundos) ",70800
Lentinus edodes,15,Lentinus,edodes,"Aproximadamente 316.000 resultados (0,40 segundos) ",316000
Lepiota erminea,15,Lepiota,erminea,"Aproximadamente 17.600 resultados (0,42 segundos) ",17600
Lepiota lilacea,15,Lepiota,lilacea,"Aproximadamente 22.100 resultados (0,38 segundos) ",22100
Lepista inversa,15,Lepista,inversa,"Aproximadamente 52.000 resultados (0,40 segundos) ",52000
Lepista luscina,15,Lepista,luscina,"Aproximadamente 13.300 resultados (0,38 segundos) ",13300
Lepista sordida,15,Lepista,sordida,"Aproximadamente 66.100 resultados (0,33 segundos) ",66100
Morchella elata,15,Morchella,elata,"Aproximadamente 255.000 resultados (0,50 segundos) ",255000
Mutinus caninus,15,Mutinus,caninus,"Aproximadamente 132.000 resultados (0,39 segundos) ",132000
Mycena abramsii,15,Mycena,abramsii,"Aproximadamente 10.900 resultados (0,31 segundos) ",10900
Mycena maculata,15,Mycena,maculata,"Aproximadamente 109.000 resultados (0,39 segundos) ",109000
Mycena vulgaris,15,Mycena,vulgaris,"Aproximadamente 207.000 resultados (0,36 segundos) ",207000
Onnia tomentosa,15,Onnia,tomentosa,"Aproximadamente 117.000 resultados (0,40 segundos) ",117000
Onygena corvina,15,Onygena,corvina,"Aproximadamente 11.400 resultados (0,37 segundos) ",11400
Otidea concinna,15,Otidea,concinna,"Aproximadamente 7.450 resultados (0,39 segundos) ",7450
Paxina queletii,15,Paxina,queletii,"Aproximadamente 1.130 resultados (0,38 segundos) ",1130
Phellinus ribis,15,Phellinus,ribis,"Aproximadamente 22.600 resultados (0,38 segundos) ",22600
Phellodon niger,15,Phellodon,niger,"Aproximadamente 24.600 resultados (0,34 segundos) ",24600
Phlebia radiata,15,Phlebia,radiata,"Aproximadamente 131.000 resultados (0,38 segundos) ",131000
Pholiota jahnii,15,Pholiota,jahnii,"Aproximadamente 11.000 resultados (0,41 segundos) ",11000
Pholiota nameko,15,Pholiota,nameko,"Aproximadamente 119.000 resultados (0,45 segundos) ",119000
Picoa lefebvrei,15,Picoa,lefebvrei,"Aproximadamente 1.400.000 resultados (0,44 segundos) ",1400
Postia stiptica,15,Postia,stiptica,"Aproximadamente 16.900 resultados (0,40 segundos) ",16900
Ramaria fennica,15,Ramaria,fennica,"Aproximadamente 11.000 resultados (0,50 segundos) ",11000
Ramaria formosa,15,Ramaria,formosa,"Aproximadamente 101.000 resultados (0,35 segundos) ",101000
Ramaria pallida,15,Ramaria,pallida,"Aproximadamente 118.000 resultados (0,39 segundos) ",118000
Ramaria stricta,15,Ramaria,stricta,"Aproximadamente 72.500 resultados (0,35 segundos) ",72500
Russula cessans,15,Russula,cessans,"Aproximadamente 7.600 resultados (0,33 segundos) ",7600
Russula emetica,15,Russula,emetica,"Aproximadamente 175.000 resultados (0,41 segundos) ",175000
Russula faginea,15,Russula,faginea,"Aproximadamente 34.500 resultados (0,39 segundos) ",34500
Russula foetens,15,Russula,foetens,"Aproximadamente 46.900 resultados (0,34 segundos) ",46900
Russula integra,15,Russula,integra,"Aproximadamente 3.720.000 resultados (0,37 segundos) ",3720
Russula nobilis,15,Russula,nobilis,"Aproximadamente 138.000 resultados (0,38 segundos) ",138000
Russula solaris,15,Russula,solaris,"Aproximadamente 41.400 resultados (0,38 segundos) ",41400
Russula sororia,15,Russula,sororia,"Aproximadamente 73.900 resultados (0,39 segundos) ",73900
Russula viscida,15,Russula,viscida,"Aproximadamente 16.200 resultados (0,42 segundos) ",16200
Suillus bovinus,15,Suillus,bovinus,"Aproximadamente 81.600 resultados (0,33 segundos) ",81600
Trametes trogii,15,Trametes,trogii,"Aproximadamente 157.000 resultados (0,40 segundos) ",157000
Trogia venenata,15,Trogia,venenata,"Aproximadamente 47.200 resultados (0,41 segundos) ",47200
Tuber excavatum,15,Tuber,excavatum,"Aproximadamente 49.300 resultados (0,41 segundos) ",49300
Tuber maculatum,15,Tuber,maculatum,"Aproximadamente 496.000 resultados (0,40 segundos) ",496000
Tuber puberulum,15,Tuber,puberulum,"Aproximadamente 17.200 resultados (0,33 segundos) ",17200
Urnula rhytidia,15,Urnula,rhytidia,"Aproximadamente 2.100 resultados (0,35 segundos) ",2100
Ustilago maydis,15,Ustilago,maydis,"Aproximadamente 332.000 resultados (0,39 segundos) ",332000
Ustulina deusta,15,Ustulina,deusta,"Aproximadamente 74.600 resultados (0,38 segundos) ",74600
Xerula longipes,15,Xerula,longipes,"Aproximadamente 12.500 resultados (0,34 segundos) ",12500
Xerula radicata,15,Xerula,radicata,"Aproximadamente 23.800 resultados (0,37 segundos) ",23800
Agaricus benesii,16,Agaricus,benesii,"Aproximadamente 95.400 resultados (0,45 segundos) ",95400
Agaricus bohusii,16,Agaricus,bohusii,"Aproximadamente 10.500 resultados (0,46 segundos) ",10500
Agaricus lutosus,16,Agaricus,lutosus,"Aproximadamente 159.000 resultados (0,37 segundos) ",159000
Agaricus menieri,16,Agaricus,menieri,"Aproximadamente 69.600 resultados (0,38 segundos) ",69600
Agaricus semotus,16,Agaricus,semotus,"Aproximadamente 11.300 resultados (0,33 segundos) ",11300
Agrocybe praecox,16,Agrocybe,praecox,"Aproximadamente 40.200 resultados (0,34 segundos) ",40200
Aleuria aurantia,16,Aleuria,aurantia,"Aproximadamente 88.500 resultados (0,35 segundos) ",88500
Amanita boudieri,16,Amanita,boudieri,"Aproximadamente 11.900 resultados (0,33 segundos) ",11900
Amanita caesarea,16,Amanita,caesarea,"Aproximadamente 160.000 resultados (0,46 segundos) ",160000
Amanita ceciliae,16,Amanita,ceciliae,"Aproximadamente 37.500 resultados (0,49 segundos) ",37500
Amanita curtipes,16,Amanita,curtipes,"Aproximadamente 9.930 resultados (0,42 segundos) ",9930
Amanita farinosa,16,Amanita,farinosa,"Aproximadamente 126.000 resultados (0,40 segundos) ",126000
Amanita malleata,16,Amanita,malleata,"Aproximadamente 18.600 resultados (0,33 segundos) ",18600
Amanita muscaria,16,Amanita,muscaria,"Aproximadamente 2.050.000 resultados (0,45 segundos) ",2050
Amanita vaginata,16,Amanita,vaginata,"Aproximadamente 136.000 resultados (0,46 segundos) ",136000
Arcyria denudata,16,Arcyria,denudata,"Aproximadamente 75.500 resultados (0,37 segundos) ",75500
Arcyria obvelata,16,Arcyria,obvelata,"Aproximadamente 56.000 resultados (0,45 segundos) ",56000
Boletus dupainii,16,Boletus,dupainii,"Aproximadamente 6.790 resultados (0,36 segundos) ",6790
Boletus legaliae,16,Boletus,legaliae,"Aproximadamente 10.900 resultados (0,43 segundos) ",10900
Boletus pinicola,16,Boletus,pinicola,"Aproximadamente 76.500 resultados (0,48 segundos) ",76500
Boletus queletii,16,Boletus,queletii,"Aproximadamente 31.700 resultados (0,34 segundos) ",31700
Boletus venturii,16,Boletus,venturii,"Aproximadamente 3.970 resultados (0,39 segundos) ",3970
Calocera furcata,16,Calocera,furcata,"Aproximadamente 60.000 resultados (0,39 segundos) ",60000
Calocera viscosa,16,Calocera,viscosa,"Aproximadamente 277.000 resultados (0,44 segundos) ",277000
Calocybe gambosa,16,Calocybe,gambosa,"Aproximadamente 72.400 resultados (0,38 segundos) ",72400
Calocybe ionides,16,Calocybe,ionides,"Aproximadamente 8.330 resultados (0,43 segundos) ",8330
Cerrena unicolor,16,Cerrena,unicolor,"Aproximadamente 81.600 resultados (0,39 segundos) ",81600
Chromosera viola,16,Chromosera,viola,"Aproximadamente 2.500 resultados (0,37 segundos) ",2500
Clathrus archeri,16,Clathrus,archeri,"Aproximadamente 68.800 resultados (0,35 segundos) ",68800
Clavulina rugosa,16,Clavulina,rugosa,"Aproximadamente 74.200 resultados (0,35 segundos) ",74200
Clitocybe ditopa,16,Clitocybe,ditopa,"Aproximadamente 7.890 resultados (0,42 segundos) ",7890
Clitocybe maxima,16,Clitocybe,maxima,"Aproximadamente 32.100 resultados (0,34 segundos) ",32100
Collybia fodiens,16,Collybia,fodiens,"Aproximadamente 9.550 resultados (0,48 segundos) ",9550
Collybia fusipes,16,Collybia,fusipes,"Aproximadamente 66.000 resultados (0,38 segundos) ",66000
Comatricha nigra,16,Comatricha,nigra,"Aproximadamente 25.600 resultados (0,70 segundos) ",25600
Conocybe brunnea,16,Conocybe,brunnea,"Aproximadamente 15.000 resultados (0,47 segundos) ",15000
