names,word1,word2,Results_Google,Number_Hits_Google
Agaricus lutosus,Agaricus,lutosus,"Aproximadamente 159.000 resultados (0,37 segundos) ",159000.0
Agaricus macrocarpus,Agaricus,macrocarpus,"Aproximadamente 66.800 resultados (0,39 segundos) ",66800.0
Agaricus macrosporus,Agaricus,macrosporus,"Aproximadamente 18.200 resultados (0,40 segundos) ",18200.0
Agaricus maleolens,Agaricus,maleolens,"Aproximadamente 5.200 resultados (0,41 segundos) ",5200.0
Agaricus maskae,Agaricus,maskae,"Aproximadamente 3.690 resultados (0,34 segundos) ",3690.0
Agaricus menieri,Agaricus,menieri,"Aproximadamente 69.600 resultados (0,38 segundos) ",69600.0
Agaricus moelleri,Agaricus,moelleri,"Aproximadamente 25.000 resultados (0,39 segundos) ",25000.0
Agaricus nivescens,Agaricus,nivescens,"Aproximadamente 13.800 resultados (0,40 segundos) ",13800.0
Agaricus pampeanus,Agaricus,pampeanus,"Aproximadamente 8.020 resultados (0,48 segundos) ",8020.0
Agaricus pequinii,Agaricus,pequinii,"Aproximadamente 6.840 resultados (0,78 segundos) ",6840.0
Agaricus phaeolepidotus,Agaricus,phaeolepidotus,"Aproximadamente 10.800 resultados (0,45 segundos) ",10800.0
Agaricus pilatianus,Agaricus,pilatianus,"Aproximadamente 8.970 resultados (0,77 segundos) ",8970.0
Agaricus placomyces,Agaricus,placomyces,"Aproximadamente 13.800 resultados (0,39 segundos) ",13800.0
Agaricus porphyrizon,Agaricus,porphyrizon,"Aproximadamente 14.300 resultados (0,58 segundos) ",14300.0
Agaricus praeclaresquamosus,Agaricus,praeclaresquamosus,"Aproximadamente 14.100 resultados (0,34 segundos) ",14100.0
Agaricus purpurellus,Agaricus,purpurellus,"Aproximadamente 6.390 resultados (0,37 segundos) ",6390.0
Agaricus romagnesii,Agaricus,romagnesii,"Aproximadamente 5.180 resultados (0,40 segundos) ",5180.0
Agaricus semotus,Agaricus,semotus,"Aproximadamente 11.300 resultados (0,33 segundos) ",11300.0
Agaricus silvaticus,Agaricus,silvaticus,"Aproximadamente 38.500 resultados (0,35 segundos) ",38500.0
Agaricus silvicola,Agaricus,silvicola,"Aproximadamente 74.900 resultados (0,36 segundos) ",74900.0
Agaricus spissicaulis,Agaricus,spissicaulis,"Aproximadamente 2.740 resultados (0,35 segundos) ",2740.0
Agaricus stramineus,Agaricus,stramineus,"Aproximadamente 6.110 resultados (0,34 segundos) ",6110.0
Agaricus subfloccosus,Agaricus,subfloccosus,"Aproximadamente 7.200 resultados (0,36 segundos) ",7200.0
Agaricus subperonatus,Agaricus,subperonatus,"Aproximadamente 8.910 resultados (0,35 segundos) ",8910.0
Agaricus urinascens,Agaricus,urinascens,"Aproximadamente 26.000 resultados (0,38 segundos) ",26000.0
Agaricus vaporarius,Agaricus,vaporarius,"Aproximadamente 12.600 resultados (0,46 segundos) ",12600.0
Agaricus xanthoderma,Agaricus,xanthoderma,"Aproximadamente 20.300 resultados (0,37 segundos) ",20300.0
Agaricus xanthodermus,Agaricus,xanthodermus,"Aproximadamente 43.000 resultados (0,34 segundos) ",43000.0
Agrocybe aegerita,Agrocybe,aegerita,"Aproximadamente 91.100 resultados (0,39 segundos) ",91100.0
Agrocybe arenicola,Agrocybe,arenicola,"Aproximadamente 7.850 resultados (0,34 segundos) ",7850.0
Agrocybe dura,Agrocybe,dura,"Aproximadamente 32.300 resultados (0,41 segundos) ",32300.0
Agrocybe elatella,Agrocybe,elatella,"Aproximadamente 4.050 resultados (0,46 segundos) ",4050.0
Agrocybe pediades,Agrocybe,pediades,"Aproximadamente 74.100 resultados (0,44 segundos) ",74100.0
Agrocybe praecox,Agrocybe,praecox,"Aproximadamente 40.200 resultados (0,34 segundos) ",40200.0
Agrocybe semiorbicularis,Agrocybe,semiorbicularis,"Aproximadamente 8.660 resultados (0,38 segundos) ",8660.0
Agrocybe vervacti,Agrocybe,vervacti,"Aproximadamente 9.240 resultados (0,33 segundos) ",9240.0
Albatrellus confluens,Albatrellus,confluens,"Aproximadamente 43.900 resultados (0,49 segundos) ",43900.0
Albatrellus cristatus,Albatrellus,cristatus,"Aproximadamente 24.500 resultados (0,36 segundos) ",24500.0
Albatrellus ovinus,Albatrellus,ovinus,"Aproximadamente 39.600 resultados (0,41 segundos) ",39600.0
Albatrellus pes-caprae,Albatrellus,pes-caprae,"Aproximadamente 9.640 resultados (0,40 segundos) ",9640.0
Albatrellus subrubescens,Albatrellus,subrubescens,"Aproximadamente 19.300 resultados (0,70 segundos) ",19300.0
Alboleptonia sericella,Alboleptonia,sericella,"Aproximadamente 1.380 resultados (0,43 segundos) ",1380.0
Aleuria aurantia,Aleuria,aurantia,"Aproximadamente 88.500 resultados (0,35 segundos) ",88500.0
Amanita abrupta,Amanita,abrupta,"Aproximadamente 21.700 resultados (0,67 segundos) ",21700.0
Amanita albocreata,Amanita,albocreata,"Aproximadamente 80.300 resultados (0,53 segundos) ",80300.0
Amanita altipes,Amanita,altipes,"Aproximadamente 5.760 resultados (0,38 segundos) ",5760.0
Amanita aprica,Amanita,aprica,"Aproximadamente 99.100 resultados (0,41 segundos) ",99100.0
Amanita asteropus,Amanita,asteropus,"Aproximadamente 3.510 resultados (0,64 segundos) ",3510.0
Amanita badia,Amanita,badia,"Aproximadamente 325.000 resultados (0,37 segundos) ",325000.0
Amanita battarrae,Amanita,battarrae,"Aproximadamente 456.000 resultados (0,42 segundos) ",456000.0
Amanita beillei,Amanita,beillei,"Aproximadamente 1.810 resultados (0,28 segundos) ",1810.0
Amanita boudieri,Amanita,boudieri,"Aproximadamente 11.900 resultados (0,33 segundos) ",11900.0
Amanita breckonii,Amanita,breckonii,"Aproximadamente 2.030 resultados (0,36 segundos) ",2030.0
Amanita brunnescens,Amanita,brunnescens,"Aproximadamente 26.800 resultados (0,39 segundos) ",26800.0
Amanita caesarea,Amanita,caesarea,"Aproximadamente 160.000 resultados (0,46 segundos) ",160000.0
Amanita ceciliae,Amanita,ceciliae,"Aproximadamente 37.500 resultados (0,49 segundos) ",37500.0
Amanita citrina,Amanita,citrina,"Aproximadamente 138.000 resultados (0,45 segundos) ",138000.0
Amanita codinae,Amanita,codinae,"Aproximadamente 5.590 resultados (0,36 segundos) ",5590.0
Amanita cokeri,Amanita,cokeri,"Aproximadamente 9.250 resultados (0,38 segundos) ",9250.0
Amanita cothurnata,Amanita,cothurnata,"Aproximadamente 134.000 resultados (0,50 segundos) ",134000.0
Amanita crocea,Amanita,crocea,"Aproximadamente 129.000 resultados (0,46 segundos) ",129000.0
Amanita curtipes,Amanita,curtipes,"Aproximadamente 9.930 resultados (0,42 segundos) ",9930.0
Amanita echinocephala,Amanita,echinocephala,"Aproximadamente 28.300 resultados (0,38 segundos) ",28300.0
Amanita eliae,Amanita,eliae,"Aproximadamente 11.100 resultados (0,38 segundos) ",11100.0
Amanita excelsa,Amanita,excelsa,"Aproximadamente 71.500 resultados (0,42 segundos) ",71500.0
Amanita farinosa,Amanita,farinosa,"Aproximadamente 126.000 resultados (0,40 segundos) ",126000.0
Amanita flavoconia,Amanita,flavoconia,"Aproximadamente 18.800 resultados (0,37 segundos) ",18800.0
Amanita flavorubescens,Amanita,flavorubescens,"Aproximadamente 7.350 resultados (0,53 segundos) ",7350.0
Amanita franchetii,Amanita,franchetii,"Aproximadamente 98.400 resultados (0,43 segundos) ",98400.0
Amanita frostiana,Amanita,frostiana,"Aproximadamente 10.300 resultados (0,36 segundos) ",10300.0
Amanita fulva,Amanita,fulva,"Aproximadamente 122.000 resultados (0,39 segundos) ",122000.0
Amanita gemmata,Amanita,gemmata,"Aproximadamente 73.400 resultados (0,40 segundos) ",73400.0
Amanita gilbertii,Amanita,gilbertii,"Aproximadamente 3.590 resultados (0,37 segundos) ",3590.0
Amanita gioiosa,Amanita,gioiosa,"Aproximadamente 58.000 resultados (0,34 segundos) ",58000.0
Amanita gracilior,Amanita,gracilior,"Aproximadamente 49.200 resultados (0,36 segundos) ",49200.0
Amanita hemibapha,Amanita,hemibapha,"Aproximadamente 31.900 resultados (0,36 segundos) ",31900.0
Amanita heterochroma,Amanita,heterochroma,"Aproximadamente 249.000 resultados (0,35 segundos) ",249000.0
Amanita hongoi,Amanita,hongoi,"Aproximadamente 245.000 resultados (0,48 segundos) ",245000.0
Amanita ibotengutake,Amanita,ibotengutake,"Aproximadamente 3.580 resultados (0,38 segundos) ",3580.0
Amanita jacksonii,Amanita,jacksonii,"Aproximadamente 24.700 resultados (0,37 segundos) ",24700.0
Amanita junquillea,Amanita,junquillea,"Aproximadamente 20.000 resultados (0,38 segundos) ",20000.0
Amanita magnivolvata,Amanita,magnivolvata,"Aproximadamente 18.200 resultados (0,41 segundos) ",18200.0
Amanita mairei,Amanita,mairei,"Aproximadamente 38.800 resultados (0,38 segundos) ",38800.0
Amanita malleata,Amanita,malleata,"Aproximadamente 18.600 resultados (0,33 segundos) ",18600.0
Amanita muscaria,Amanita,muscaria,"Aproximadamente 2.050.000 resultados (0,45 segundos) ",2050.0
Amanita nehuta,Amanita,nehuta,"Aproximadamente 2.500 resultados (0,40 segundos) ",2500.0
Amanita neoovoidea,Amanita,neoovoidea,"Aproximadamente 3.200 resultados (0,65 segundos) ",3200.0
Amanita novinupta,Amanita,novinupta,"Aproximadamente 6.560 resultados (0,41 segundos) ",6560.0
Amanita ovoidea,Amanita,ovoidea,"Aproximadamente 36.600 resultados (0,27 segundos) ",36600.0
Amanita pantherina,Amanita,pantherina,"Aproximadamente 220.000 resultados (0,39 segundos) ",220000.0
Amanita parcivolvata,Amanita,parcivolvata,"Aproximadamente 47.100 resultados (0,38 segundos) ",47100.0
Amanita parvipantherina,Amanita,parvipantherina,"Aproximadamente 2.760 resultados (0,40 segundos) ",2760.0
Amanita petalinivolva,Amanita,petalinivolva,"Aproximadamente 264 resultados (0,40 segundos) ",0.0
Amanita phalliodes,Amanita,phalliodes,"Aproximadamente 480.000 resultados (0,38 segundos) ",480000.0
Amanita phalloides,Amanita,phalloides,"Aproximadamente 480.000 resultados (0,31 segundos) ",480000.0
Amanita ponderosa,Amanita,ponderosa,"Aproximadamente 37.400 resultados (0,39 segundos) ",37400.0
Amanita porphyria,Amanita,porphyria,"Aproximadamente 539.000 resultados (0,46 segundos) ",539000.0
Amanita porrinensis,Amanita,porrinensis,"Aproximadamente 2.270 resultados (0,56 segundos) ",2270.0
Amanita proxima,Amanita,proxima,"Aproximadamente 149.000 resultados (0,33 segundos) ",149000.0
Amanita pseudoporphyria,Amanita,pseudoporphyria,"Aproximadamente 8.530 resultados (0,48 segundos) ",8530.0
Amanita pseudoregalis,Amanita,pseudoregalis,"Aproximadamente 868 resultados (0,42 segundos) ",0.0
Amanita pseudorubescens,Amanita,pseudorubescens,"Aproximadamente 1.370 resultados (0,57 segundos) ",1370.0
Amanita regalis,Amanita,regalis,"Aproximadamente 165.000 resultados (0,43 segundos) ",165000.0
Amanita roseotincta,Amanita,roseotincta,"Aproximadamente 42.100 resultados (0,41 segundos) ",42100.0
Amanita rubescens,Amanita,rubescens,"Aproximadamente 262.000 resultados (0,43 segundos) ",262000.0
Amanita rubrovolvata,Amanita,rubrovolvata,"Aproximadamente 7.710 resultados (0,41 segundos) ",7710.0
Amanita smithiana,Amanita,smithiana,"Aproximadamente 15.800 resultados (0,44 segundos) ",15800.0
Amanita spissa,Amanita,spissa,"Aproximadamente 53.100 resultados (0,38 segundos) ",53100.0
Amanita strobiliformis,Amanita,strobiliformis,"Aproximadamente 24.300 resultados (0,44 segundos) ",24300.0
Amanita subfrostiana,Amanita,subfrostiana,"Aproximadamente 1.070 resultados (0,35 segundos) ",1070.0
Amanita submembranacea,Amanita,submembranacea,"Aproximadamente 121.000 resultados (0,50 segundos) ",121000.0
Amanita torrendii,Amanita,torrendii,"Aproximadamente 21.800 resultados (0,40 segundos) ",21800.0
Amanita umbrinolutea,Amanita,umbrinolutea,"Aproximadamente 8.820 resultados (0,37 segundos) ",8820.0
Amanita vaginata,Amanita,vaginata,"Aproximadamente 136.000 resultados (0,46 segundos) ",136000.0
Amanita valens,Amanita,valens,"Aproximadamente 21.300 resultados (0,32 segundos) ",21300.0
Amanita velatipes,Amanita,velatipes,"Aproximadamente 9.310 resultados (0,42 segundos) ",9310.0
Amanita verna,Amanita,verna,"Aproximadamente 108.000 resultados (0,54 segundos) ",108000.0
Amanita virosa,Amanita,virosa,"Aproximadamente 141.000 resultados (0,49 segundos) ",141000.0
Amanita viscidolutea,Amanita,viscidolutea,"Aproximadamente 1.750 resultados (0,44 segundos) ",1750.0
Amanita vittadinii,Amanita,vittadinii,"Aproximadamente 23.500 resultados (0,37 segundos) ",23500.0
Amanita wellsii,Amanita,wellsii,"Aproximadamente 6.890 resultados (0,37 segundos) ",6890.0
Amanita xanthocephala,Amanita,xanthocephala,"Aproximadamente 8.050 resultados (0,34 segundos) ",8050.0
Ampulloclitocybe clavipes,Ampulloclitocybe,clavipes,"Aproximadamente 34.500 resultados (0,50 segundos) ",34500.0
Amylostereum laevigatum,Amylostereum,laevigatum,"Aproximadamente 4.960 resultados (0,35 segundos) ",4960.0
Anthracobia macrocystis,Anthracobia,macrocystis,"Aproximadamente 12.600 resultados (0,50 segundos) ",12600.0
Anthracobia maurilabra,Anthracobia,maurilabra,"Aproximadamente 6.230 resultados (0,43 segundos) ",6230.0
Anthracobia melaloma,Anthracobia,melaloma,"Aproximadamente 14.000 resultados (0,47 segundos) ",14000.0
Antrodia albida,Antrodia,albida,"Aproximadamente 17.900 resultados (0,56 segundos) ",17900.0
Arachnion lazoi,Arachnion,lazoi,"Aproximadamente 1.390 resultados (0,49 segundos) ",1390.0
Arachnion lloydianum,Arachnion,lloydianum,"Aproximadamente 1.380 resultados (0,39 segundos) ",1380.0
Arachnopeziza aurelia,Arachnopeziza,aurelia,"Aproximadamente 13.300 resultados (0,39 segundos) ",13300.0
Arcyria cinerea,Arcyria,cinerea,"Aproximadamente 109.000 resultados (0,44 segundos) ",109000.0
Arcyria denudata,Arcyria,denudata,"Aproximadamente 75.500 resultados (0,37 segundos) ",75500.0
Arcyria obvelata,Arcyria,obvelata,"Aproximadamente 56.000 resultados (0,45 segundos) ",56000.0
Armillaria bulbosa,Armillaria,bulbosa,"Aproximadamente 42.000 resultados (0,44 segundos) ",42000.0
Armillaria mellea,Armillaria,mellea,"Aproximadamente 380.000 resultados (0,41 segundos) ",380000.0
Armillaria ostoyae,Armillaria,ostoyae,"Aproximadamente 110.000 resultados (0,40 segundos) ",110000.0
Armillaria tabescens,Armillaria,tabescens,"Aproximadamente 35.600 resultados (0,41 segundos) ",35600.0
Arrhenia lobata,Arrhenia,lobata,"Aproximadamente 11.200 resultados (0,42 segundos) ",11200.0
Arrhenia onisca,Arrhenia,onisca,"Aproximadamente 2.820 resultados (0,48 segundos) ",2820.0
Arrhenia rickenii,Arrhenia,rickenii,"Aproximadamente 9.790 resultados (0,42 segundos) ",9790.0
Arrhenia spathulata,Arrhenia,spathulata,"Aproximadamente 20.400 resultados (0,35 segundos) ",20400.0
Artomyces pyxidatus,Artomyces,pyxidatus,"Aproximadamente 33.600 resultados (0,36 segundos) ",33600.0
Ascocoryne cylichnium,Ascocoryne,cylichnium,"Aproximadamente 34.700 resultados (0,44 segundos) ",34700.0
Ascocoryne sarcoides,Ascocoryne,sarcoides,"Aproximadamente 41.800 resultados (0,36 segundos) ",41800.0
Ascotremella faginea,Ascotremella,faginea,"Aproximadamente 25.600 resultados (0,40 segundos) ",25600.0
Asterophora lycoperdoides,Asterophora,lycoperdoides,"Aproximadamente 20.600 resultados (0,45 segundos) ",20600.0
Asterophora parasitica,Asterophora,parasitica,"Aproximadamente 20.300 resultados (0,42 segundos) ",20300.0
Astraeus hygrometricus,Astraeus,hygrometricus,"Aproximadamente 42.300 resultados (0,35 segundos) ",42300.0
Aureoboletus gentilis,Aureoboletus,gentilis,"Aproximadamente 13.600 resultados (0,43 segundos) ",13600.0
Auricularia auricula-judae,Auricularia,auricula-judae,"Aproximadamente 268.000 resultados (0,45 segundos) ",268000.0
Auricularia mesenterica,Auricularia,mesenterica,"Aproximadamente 101.000 resultados (0,34 segundos) ",101000.0
Auricularia polytricha,Auricularia,polytricha,"Aproximadamente 78.200 resultados (0,36 segundos) ",78200.0
Auriculariopsis ampla,Auriculariopsis,ampla,"Aproximadamente 26.500 resultados (0,58 segundos) ",26500.0
Auriscalpium vulgare,Auriscalpium,vulgare,"Aproximadamente 36.000 resultados (0,61 segundos) ",36000.0
Baeospora myosura,Baeospora,myosura,"Aproximadamente 21.000 resultados (0,41 segundos) ",21000.0
Balsamia vulgaris,Balsamia,vulgaris,"Aproximadamente 5.410 resultados (0,38 segundos) ",5410.0
Basidioradulum radula,Basidioradulum,radula,"Aproximadamente 17.300 resultados (0,51 segundos) ",17300.0
Battarrea phalloides,Battarrea,phalloides,"Aproximadamente 9.670 resultados (0,50 segundos) ",9670.0
Biscogniauxia nummularia,Biscogniauxia,nummularia,"Aproximadamente 57.700 resultados (0,44 segundos) ",57700.0
Bisporella citrina,Bisporella,citrina,"Aproximadamente 42.400 resultados (0,44 segundos) ",42400.0
Bisporella pallescens,Bisporella,pallescens,"Aproximadamente 10.200 resultados (0,47 segundos) ",10200.0
Bjerkandera adusta,Bjerkandera,adusta,"Aproximadamente 145.000 resultados (0,35 segundos) ",145000.0
Bjerkandera fumosa,Bjerkandera,fumosa,"Aproximadamente 67.000 resultados (0,36 segundos) ",67000.0
Bolbitius elegans,Bolbitius,elegans,"Aproximadamente 14.100 resultados (0,36 segundos) ",14100.0
Bolbitius titubans,Bolbitius,titubans,"Aproximadamente 38.800 resultados (0,37 segundos) ",38800.0
Bolbitius vitellinus,Bolbitius,vitellinus,"Aproximadamente 32.700 resultados (0,43 segundos) ",32700.0
Boletinus cavipes,Boletinus,cavipes,"Aproximadamente 19.100 resultados (0,49 segundos) ",19100.0
Boletopsis grisea,Boletopsis,grisea,"Aproximadamente 23.000 resultados (0,52 segundos) ",23000.0
Boletopsis leucomelaena,Boletopsis,leucomelaena,"Aproximadamente 17.700 resultados (0,48 segundos) ",17700.0
Boletus aemilii,Boletus,aemilii,"Aproximadamente 3.280 resultados (0,33 segundos) ",3280.0
Boletus aereus,Boletus,aereus,"Aproximadamente 131.000 resultados (0,34 segundos) ",131000.0
Boletus aestivalis,Boletus,aestivalis,"Aproximadamente 65.000 resultados (0,50 segundos) ",65000.0
Boletus albidus,Boletus,albidus,"Aproximadamente 62.600 resultados (0,39 segundos) ",62600.0
Boletus appendiculatus,Boletus,appendiculatus,"Aproximadamente 28.800 resultados (0,37 segundos) ",28800.0
Boletus badius,Boletus,badius,"Aproximadamente 171.000 resultados (0,66 segundos) ",171000.0
Boletus calopus,Boletus,calopus,"Aproximadamente 56.800 resultados (0,36 segundos) ",56800.0
Boletus caucasicus,Boletus,caucasicus,"Aproximadamente 8.330 resultados (0,39 segundos) ",8330.0
Boletus depilatus,Boletus,depilatus,"Aproximadamente 10.200 resultados (0,37 segundos) ",10200.0
Boletus dupainii,Boletus,dupainii,"Aproximadamente 6.790 resultados (0,36 segundos) ",6790.0
Boletus edulis,Boletus,edulis,"Aproximadamente 2.190.000 resultados (0,44 segundos) ",2190.0
Boletus erythropus,Boletus,erythropus,"Aproximadamente 80.300 resultados (0,39 segundos) ",80300.0
Boletus fechtneri,Boletus,fechtneri,"Aproximadamente 16.100 resultados (0,38 segundos) ",16100.0
Boletus ferrugineus,Boletus,ferrugineus,"Aproximadamente 96.700 resultados (0,46 segundos) ",96700.0
Boletus fragans,Boletus,fragans,"Aproximadamente 17.300 resultados (0,45 segundos) ",17300.0
Boletus impolitus,Boletus,impolitus,"Aproximadamente 50.300 resultados (0,44 segundos) ",50300.0
Boletus junquilleus,Boletus,junquilleus,"Aproximadamente 146.000 resultados (0,55 segundos) ",146000.0
Boletus legaliae,Boletus,legaliae,"Aproximadamente 10.900 resultados (0,43 segundos) ",10900.0
Boletus lupinus,Boletus,lupinus,"Aproximadamente 112.000 resultados (0,37 segundos) ",112000.0
Boletus luridus,Boletus,luridus,"Aproximadamente 97.000 resultados (0,36 segundos) ",97000.0
Boletus luteocupreus,Boletus,luteocupreus,"Aproximadamente 9.750 resultados (0,38 segundos) ",9750.0
Boletus permagnificus,Boletus,permagnificus,"Aproximadamente 5.740 resultados (0,36 segundos) ",5740.0
Boletus pinicola,Boletus,pinicola,"Aproximadamente 76.500 resultados (0,48 segundos) ",76500.0
Boletus pinophilus,Boletus,pinophilus,"Aproximadamente 135.000 resultados (0,41 segundos) ",135000.0
Boletus pruinatus,Boletus,pruinatus,"Aproximadamente 26.200 resultados (0,41 segundos) ",26200.0
Boletus pseudoregius,Boletus,pseudoregius,"Aproximadamente 12.700 resultados (0,37 segundos) ",12700.0
Boletus pulchrotinctus,Boletus,pulchrotinctus,"Aproximadamente 6.290 resultados (0,47 segundos) ",6290.0
Boletus purpureus,Boletus,purpureus,"Aproximadamente 98.100 resultados (0,41 segundos) ",98100.0
Boletus queletii,Boletus,queletii,"Aproximadamente 31.700 resultados (0,34 segundos) ",31700.0
Boletus regius,Boletus,regius,"Aproximadamente 40.200 resultados (0,40 segundos) ",40200.0
Boletus reticulatus,Boletus,reticulatus,"Aproximadamente 132.000 resultados (0,40 segundos) ",132000.0
Boletus rhodopurpureus,Boletus,rhodopurpureus,"Aproximadamente 18.700 resultados (0,37 segundos) ",18700.0
Boletus rhodoxanthus,Boletus,rhodoxanthus,"Aproximadamente 38.500 resultados (0,42 segundos) ",38500.0
Boletus roseoalbidus,Boletus,roseoalbidus,"Aproximadamente 3.290 resultados (0,35 segundos) ",3290.0
Boletus rubrosanguineus,Boletus,rubrosanguineus,"Aproximadamente 7.860 resultados (0,46 segundos) ",7860.0
Boletus satanas,Boletus,satanas,"Aproximadamente 95.500 resultados (0,34 segundos) ",95500.0
Boletus speciosus,Boletus,speciosus,"Aproximadamente 78.200 resultados (0,44 segundos) ",78200.0
Boletus subtomentosus,Boletus,subtomentosus,"Aproximadamente 78.400 resultados (0,41 segundos) ",78400.0
Boletus torosus,Boletus,torosus,"Aproximadamente 48.300 resultados (0,36 segundos) ",48300.0
Boletus venturii,Boletus,venturii,"Aproximadamente 3.970 resultados (0,39 segundos) ",3970.0
Bovista nigrescens,Bovista,nigrescens,"Aproximadamente 74.000 resultados (0,65 segundos) ",74000.0
Bovista plumbea,Bovista,plumbea,"Aproximadamente 70.200 resultados (0,37 segundos) ",70200.0
Bulgaria inquinans,Bulgaria,inquinans,"Aproximadamente 63.800 resultados (0,41 segundos) ",63800.0
Butyriboletus appendiculatus,Butyriboletus,appendiculatus,"Aproximadamente 9.220 resultados (0,35 segundos) ",9220.0
Butyriboletus pseudoregius,Butyriboletus,pseudoregius,"Aproximadamente 3.390 resultados (0,36 segundos) ",3390.0
Butyriboletus regius,Butyriboletus,regius,"Aproximadamente 21.200 resultados (0,38 segundos) ",21200.0
Byssomerulius corium,Byssomerulius,corium,"Aproximadamente 11.800 resultados (0,50 segundos) ",11800.0
Byssonectria fusispora,Byssonectria,fusispora,"Aproximadamente 9.360 resultados (0,50 segundos) ",9360.0
Byssonectria terrestris,Byssonectria,terrestris,"Aproximadamente 11.400 resultados (0,39 segundos) ",11400.0
Calbovista subsculpta,Calbovista,subsculpta,"Aproximadamente 3.300 resultados (0,51 segundos) ",3300.0
Callistosporium luteo-olivaceum,Callistosporium,luteo-olivaceum,"Aproximadamente 12.500 resultados (0,40 segundos) ",12500.0
Caloboletus calopus,Caloboletus,calopus,"Aproximadamente 28.600 resultados (0,47 segundos) ",28600.0
Caloboletus radicans,Caloboletus,radicans,"Aproximadamente 22.000 resultados (0,43 segundos) ",22000.0
Calocera cornea,Calocera,cornea,"Aproximadamente 84.500 resultados (0,64 segundos) ",84500.0
Calocera furcata,Calocera,furcata,"Aproximadamente 60.000 resultados (0,39 segundos) ",60000.0
Calocera viscosa,Calocera,viscosa,"Aproximadamente 277.000 resultados (0,44 segundos) ",277000.0
Calocybe alpestris,Calocybe,alpestris,"Aproximadamente 6.610 resultados (0,43 segundos) ",6610.0
Calocybe carnea,Calocybe,carnea,"Aproximadamente 14.200 resultados (0,38 segundos) ",14200.0
Calocybe gambosa,Calocybe,gambosa,"Aproximadamente 72.400 resultados (0,38 segundos) ",72400.0
Calocybe ionides,Calocybe,ionides,"Aproximadamente 8.330 resultados (0,43 segundos) ",8330.0
Calocybe persicolor,Calocybe,persicolor,"Aproximadamente 18.700 resultados (0,39 segundos) ",18700.0
